comparison,method,method_display,budget_steps,metric,metric_display,kind,direction,proposed_mean,baseline_mean,delta,ci_low,ci_high,raw_p,holm_p,favorable_cross_seed_pairs,total_cross_seed_pairs,favorable_ci,confirmatory,strict_superiority
proposed_minus_hatrpo,hatrpo,HATRPO,3000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.3038962196861626,-0.08602294341417022,-0.14051355206847352,-0.03483119353304803,0.0004049979750101249,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,3000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.5721736804564908,-0.08172848311935338,-0.15084143188302426,-0.015394302781740424,0.012409937950310248,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,5000000,success,Success,rate,higher,0.9127604166666666,0.0026041666666666665,0.91015625,0.87890625,0.9401041666666666,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mappo,mappo,MAPPO,5000000,collision,Collision,rate,lower,0.07421875,0.5872395833333334,-0.5130208333333334,-0.6106770833333333,-0.4153645833333333,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mappo,mappo,MAPPO,5000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.41015625,-0.3971354166666667,-0.49348958333333337,-0.3046875,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mappo,mappo,MAPPO,5000000,progress,Goal progress,value,higher,2.3595063316774905,-1.3810309387821083,3.7405372704595985,3.50924116131998,3.9800942238702945,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mappo,mappo,MAPPO,5000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-3.420848596038353,2.857073760760172,2.3964983940803104,3.2179487492729226,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mappo,mappo,MAPPO,5000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.08813302425106989,0.1297402520209225,0.0882964812173086,0.17473549690917736,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_mappo,mappo,MAPPO,5000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.2508767237280076,0.23956847360912975,0.15740868699476931,0.3251456252971946,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_ippo,ippo,IPPO,5000000,success,Success,rate,higher,0.9127604166666666,0.08723958333333333,0.8255208333333333,0.6783854166666666,0.9270833333333334,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_ippo,ippo,IPPO,5000000,collision,Collision,rate,lower,0.07421875,0.28125,-0.20703125,-0.36328125,-0.08072916666666666,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_ippo,ippo,IPPO,5000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.6315104166666666,-0.6184895833333333,-0.734375,-0.515625,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_ippo,ippo,IPPO,5000000,progress,Goal progress,value,higher,2.3595063316774905,0.5766278872421632,1.7828784444353274,0.25648045344223924,3.2190173458277114,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_ippo,ippo,IPPO,5000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-2.043586304978622,1.479811469700441,0.6351497997996312,2.420790499559415,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_ippo,ippo,IPPO,5000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.3173294103661436,-0.09945613409415122,-0.2524525974797907,0.029482064312886278,2.4999875000624998e-05,nan,7,9,False,False,
proposed_minus_ippo,ippo,IPPO,5000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.6086543033761294,-0.11820910603899198,-0.2730481752258676,0.03459343794579167,0.0008649956750216249,nan,6,9,False,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,5000000,success,Success,rate,higher,0.9127604166666666,0.005208333333333333,0.9075520833333333,0.875,0.9388020833333334,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,5000000,collision,Collision,rate,lower,0.07421875,0.5768229166666666,-0.5026041666666666,-0.5638020833333334,-0.43749999999999994,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,5000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.41796875,-0.4049479166666667,-0.4674479166666667,-0.34765625,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,5000000,progress,Goal progress,value,higher,2.3595063316774905,-1.4064989309990779,3.7660052626765683,3.3623087374624565,4.142158425629984,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,5000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-3.5036953788898657,2.939920543611685,2.58351430555543,3.2426291819662385,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,5000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.12248870660960531,0.09538456966238706,0.027341892534474527,0.16000951022349025,1.9999900000499998e-05,nan,0,9,False,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,5000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.331490727532097,0.15895446980504035,0.017861388492629582,0.29731410485021387,3.9999800000999996e-05,nan,0,9,False,False,
proposed_minus_mat,mat,MAT,5000000,success,Success,rate,higher,0.9127604166666666,0.00390625,0.9088541666666666,0.875,0.94140625,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mat,mat,MAT,5000000,collision,Collision,rate,lower,0.07421875,0.6158854166666666,-0.5416666666666666,-0.5950520833333334,-0.4908854166666667,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mat,mat,MAT,5000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.3802083333333333,-0.3671875,-0.4153645833333333,-0.3203125,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mat,mat,MAT,5000000,progress,Goal progress,value,higher,2.3595063316774905,-1.8634255597135052,4.222931891390996,4.021033729951476,4.423182958759791,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mat,mat,MAT,5000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-4.549809153757294,3.986034318479113,3.841359372973146,4.126965401165464,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_mat,mat,MAT,5000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.08740489776509748,0.1304683785068949,0.0961126961483595,0.16632489300998574,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_mat,mat,MAT,5000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.2406383737517832,0.24980682358535417,0.18516665180694244,0.31505587256300516,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_hatrpo,hatrpo,HATRPO,5000000,success,Success,rate,higher,0.9127604166666666,0.0,0.9127604166666666,0.8828125,0.94140625,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_hatrpo,hatrpo,HATRPO,5000000,collision,Collision,rate,lower,0.07421875,0.8528645833333334,-0.7786458333333334,-0.8528645833333334,-0.6953125,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_hatrpo,hatrpo,HATRPO,5000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.14713541666666666,-0.13411458333333331,-0.21223958333333331,-0.0625,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_hatrpo,hatrpo,HATRPO,5000000,progress,Goal progress,value,higher,2.3595063316774905,-1.579299521050416,3.9388058527279064,3.7317973390317363,4.14164164654344,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_hatrpo,hatrpo,HATRPO,5000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-5.2023186781922535,4.638543842914073,4.28831201490981,5.011466554221741,4.9999750001249995e-06,0.000124999375003125,9,9,True,True,True
proposed_minus_hatrpo,hatrpo,HATRPO,5000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.29952746077032805,-0.08165418449833567,-0.13216238706609604,-0.03521754636233951,0.000244998775006125,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,5000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.5660068949120304,-0.075561697574893,-0.1447641761768902,-0.009614241559676603,0.021799891000544996,nan,9,9,True,False,
